OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OBJECTID_1,STUDY_ID,TITLE,STUDY_ADT,STUDY_MAX8,STUDY_AMPK,STUDY_PMPK,STDY_TITLE,STDY_LABEL,STDY_YEAR,FLOWMAP,HPMS_FLOW_,AWDT,ADJUSTMENT,AAWDT,RND_AAWDT,SEG_COMPKEY,SHAPE_Length
75,300215,N,1214,1ST AVE S,192,309889,"1ST AVE S, S/O S SPOKANE SR ST; TOTAL FLOW; CH(AGG); 06Jun2012 12:30",15312,10531,1337,1646,"1ST AVE S, S/O S SPOKANE SR ST","309889, 2012-06-06, TOTAL",2012,Y,"1ST AVE S, S/O S SPOKANE SR ST",17929.2,0.964,17284,17300,1214,6553.64604581829
76,100140,Y,1013,1ST AVE,70,309891,"1ST AVE, NW/O LENORA ST; TOTAL FLOW; CH(AGG); 17Sep2012 15:30",15641,7820,853,1340,"1ST AVE, NW/O LENORA ST","309891, 2012-09-17, TOTAL",2012,Y,"1ST AVE, NW/O LENORA ST",15205.2,0.974,14810,14800,1013,4622.27742896687
77,47850140,Y,8279,8TH AVE,96,309921,"8TH AVE, SE/O PIKE ST; TOTAL FLOW; CH(AGG); 19Jul2012 11:30",4251,2989,368,564,"8TH AVE, SE/O PIKE ST","309921, 2012-07-19, TOTAL",2012,Y,"8TH AVE, SE/O PIKE ST",4859,0.981,4767,4800,8279,3919.71877520201
78,129750230,N,16496,NE 125TH ST,137,310015,"NE 125TH ST, W/O 27TH AVE NE; TOTAL FLOW; CH(AGG); 17Sep2012 13:00",15532,9384,1008,1432,"NE 125TH ST, W/O 27TH AVE NE","310015, 2012-09-17, TOTAL",2012,Y,"NE 125TH ST, W/O 27TH AVE NE",16310.6,0.974,15887,15900,16496,5659.85457770065
79,93450730,N,12409,RAINIER AVE S,60,310439,"RAINIER AVE S, S/O S OTHELLO ST; TOTAL FLOW; CH(AGG); 11Oct2012 11:00",21456,11960,1210,1843,"RAINIER AVE S, S/O S OTHELLO ST","310439, 2012-10-11, TOTAL",2012,Y,"RAINIER AVE S, S/O S OTHELLO ST",21993,0.978,21509,21500,12409,7910.41450444665
80,52500030,N,8900,AURORA AVE N,180,311378,"AURORA AVE N, S/O HARRISON ST; TOTAL FLOW; CH(AGG);(2011 DATA) 04Jun2012 11:15",71029,47284,6689,7415,"AURORA AVE N, S/O HARRISON ST","311378, 2012-06-04, TOTAL",2012,Y,"AURORA AVE N, S/O HARRISON ST",77221,0.964,74441,74400,8900,1272.63266470755
81,166350100,N,20911,S MYRTLE ST,5,310085,"S MYRTLE ST, W/O BEACON WR AVE S; TOTAL FLOW; CH(AGG); 02Apr2012 11:45",0,5946,726,912,"S MYRTLE ST, W/O BEACON WR AVE S","310085, 2012-04-02, TOTAL",2012,Y,"S MYRTLE ST, W/O BEACON WR AVE S",11642,0.984,11456,11500,20911,1055.60188805434
82,63450280,Y,10023,DENNY WAY,206,309939,"DENNY WAY, E/O STEWART ST; TOTAL FLOW; CH(AGG); 22Aug2012 11:15",25807,12160,1712,1617,"DENNY WAY, E/O STEWART ST","309939, 2012-08-22, TOTAL",2012,Y,"DENNY WAY, E/O STEWART ST",25447,1.008,25651,25700,10023,1257.12045476637
83,67700450,N,10420,FAUNTLEROY WAY SW,122,311045,"FAUNTLEROY WAY SW, N/O SW BARTON ST; TOTAL FLOW; CH(AGG); 24Jan2012 11:30",9429,5647,663,921,"FAUNTLEROY WAY SW, N/O SW BARTON ST","311045, 2012-01-24, TOTAL",2012,Y,"FAUNTLEROY WAY SW, N/O SW BARTON ST",9776.6,1.012,9894,9900,10420,8904.53350913795
84,71050650,N,10764,GREENWOOD AVE N,116,311051,"GREENWOOD AVE N, S/O HOLMAN RD N; TOTAL FLOW; CH(AGG); 26Apr2012 13:00",11404,6854,709,1083,"GREENWOOD AVE N, S/O HOLMAN RD N","311051, 2012-04-26, TOTAL",2012,Y,"GREENWOOD AVE N, S/O HOLMAN RD N",11901,0.984,11711,11700,10764,6617.58513858824
85,53850050,N,9093,BEACH DR SW,153,308134,"BEACH DR SW, SE/O 61ST AVE SW; TOTAL FLOW; CHB TUBE; 05Jun2012 13:45",5035,2771,302,423,"BEACH DR SW, SE/O 61ST AVE SW","308134, 2012-06-05, TOTAL",2012,Y,"BEACH DR SW, SE/O 61ST AVE SW",4935.4,0.964,4758,4800,9093,17360.7054255497
86,31300120,Y,6130,4TH AVE,170,308943,"4TH AVE, SE/O PIKE ST; NW FLOW; CH(AGG); 18Jul2012 14:00",19662,11316,1523,1679,"4TH AVE, SE/O PIKE ST","308943, 2012-07-18, NW",2012,Y,"4TH AVE, SE/O PIKE ST",21088.2,0.981,20688,20700,6130,4472.22651773913
87,63450245,Y,158085,DENNY WAY,251,309937,"DENNY WAY, E/O MINOR AVE; TOTAL FLOW; CH(AGG); 01Feb2012 10:45",21980,11745,1516,1703,"DENNY WAY, E/O MINOR AVE","309937, 2012-02-01, TOTAL",2012,Y,"DENNY WAY, E/O MINOR AVE",22734.4,1.019,23166,23200,158085,555.11455395047
88,47050080,Y,8157,7TH AVE,255,311207,"7TH AVE, SE/O PIKE ST; TOTAL FLOW; CH(AGG); 02Aug2012 11:00",7176,4291,693,601,"7TH AVE, SE/O PIKE ST","311207, 2012-08-02, TOTAL",2012,Y,"7TH AVE, SE/O PIKE ST",7900,1.008,7963,8000,8157,1278.57800301231
89,44350170,Y,7890,6TH AVE,138,311346,"6TH AVE, NW/O LENORA ST; NW FLOW; CH(AGG); 06Mar2012 12:00",6435,4336,455,892,"6TH AVE, NW/O LENORA ST","311346, 2012-03-06, NW",2012,Y,"6TH AVE, NW/O LENORA ST",7390.4,1.046,7730,7700,7890,2945.64639494732
90,80150280,N,11166,LAKE CITY WAY NE,48,311053,"LAKE CITY WAY NE, SW/O NE 115TH ST; TOTAL FLOW; CH(AGG); 06Dec2012 11:45",37961,22092,2702,3250,"LAKE CITY WAY NE, SW/O NE 115TH ST","311053, 2012-12-06, TOTAL",2012,Y,"LAKE CITY WAY NE, SW/O NE 115TH ST",40520.6,1.001,40561,40600,11166,2944.37513629408
91,93451120,N,12439,RAINIER AVE S,82,310063,"RAINIER AVE S, SE/O 75TH AVE S; TOTAL FLOW; CH(AGG); 03May2012 10:45",18372,10328,1154,1656,"RAINIER AVE S, SE/O 75TH AVE S","310063, 2012-05-03, TOTAL",2012,Y,"RAINIER AVE S, E/O 75TH AVE S",18505.2,1.002,18542,18500,12439,8041.57296682896
92,119750060,N,15264,N 145TH ST,113,310003,"N 145TH ST, W/O LINDEN AVE N; TOTAL FLOW; CH(AGG); 05Sep2012 11:30",13166,7744,938,1161,"N 145TH ST, W/O LINDEN AVE N","310003, 2012-09-05, TOTAL",2012,Y,"N 145TH ST, W/O LINDEN AVE N",13947,0.974,13584,13600,15264,3896.13507154779
93,38950585,N,7255,5TH AVE NE,58,309917,"5TH AVE NE, S/O NE NORTHGATE WAY; TOTAL FLOW; CH(AGG); 19Apr2012 11:00",17641,11393,1195,1748,"5TH AVE NE, S/O NE NORTHGATE WAY","309917, 2012-04-19, TOTAL",2012,Y,"5TH AVE NE, S/O NE NORTHGATE WAY",19063.6,0.984,18759,18800,7255,8580.44053367396
94,125000140,N,15962,N 85TH ST,188,310619,"N 85TH ST, W/O ASHWORTH AVE N; TOTAL FLOW; CH(AGG); 17Oct2012 11:15",22661,11507,1344,1588,"N 85TH ST, W/O ASHWORTH AVE N","310619, 2012-10-17, TOTAL",2012,Y,"N 85TH ST, W/O ASHWORTH AVE N",22612.6,0.978,22115,22100,15962,6273.09271729292
95,136400060,N,17610,NE 80TH ST,80,311252,Aggregate Title,11645,6964,823,1097,Aggregate Title,"311252, 2012-07-30, E",2012,Y,"NE 80TH ST, E/O 5TH AVE NE",12559.6,0.981,12321,12300,17610,1329.87340928132
96,5550170,N,2047,15TH AVE NE,106,311150,"15TH AVE NE, S/O NE 65TH ST; TOTAL COUNT; AGG; 03Oct2012 11:30",9356,6107,738,1089,"15TH AVE NE, S/O NE 65TH ST","311150, 2012-10-03, N",2012,Y,"15TH AVE NE, S/O NE 65TH ST",9990.8,0.978,9771,9800,2047,5297.11592128567
97,132850275,N,288753,NE 45TH ST,89,311250,Aggregate Title,34756,20639,2916,2956,Aggregate Title,"311250, 2012-10-04, E",2012,Y,"NE 45TH ST, W/O NE 45TH PL",37282.8,0.978,36463,36500,288753,2427.54180872405
98,160200190,N,20097,S GENESEE ST,98,311110,"S GENESEE ST, E/O 38TH AVE S; TOTAL FLOW; CH(AGG); 11Jun2012 10:00",0,5938,696,979,"S GENESEE ST, E/O 38TH AVE S","311110, 2012-06-11, TOTAL",2012,Y,"S GENESEE ST, E/O 38TH AVE S",10318.2,0.964,9947,9900,20097,4316.75631627842
99,94850100,N,12601,ROOSEVELT WAY NE,178,309198,"ROOSEVELT WAY NE, N/O NE 50TH ST; S FLOW; CH1; 02Oct2012 11:15",10287,6587,1037,981,"ROOSEVELT WAY NE, N/O NE 50TH ST","309198, 2012-10-02, S",2012,Y,"ROOSEVELT WAY NE, N/O NE 50TH ST",10766,0.978,10529,10500,12601,9323.63930853616
100,120600150,N,15416,N 40TH ST,46,311097,"N 40TH ST, E/O STONE WAY N; TOTAL FLOW; CH(AGG); 24Apr2012 11:45",10524,6721,852,1069,"N 40TH ST, E/O STONE WAY N","311097, 2012-04-24, TOTAL",2012,Y,"N 40TH ST, E/O STONE WAY N",11236.2,0.984,11056,11100,15416,4695.00078826017
101,31500060,N,6232,4TH AVE S,24,309915,"4TH AVE S, S/O SEATTLE BLVD S; TOTAL FLOW; CH(AGG); 24Oct2012 11:45",24365,15537,2025,2416,"4TH AVE S, S/O SEATTLE BLVD S","309915, 2012-10-24, TOTAL",2012,Y,"4TH AVE S, S/O SEATTLE BLVD S",26765.2,0.978,26176,26200,6232,9143.61202872809
102,173050020,N,21691,SW ADMIRAL WAY,218,310089,"SW ADMIRAL WAY, SE/O SW CITY VIEW ST; TOTAL FLOW; CH(AGG); 05Apr2012 11:30",23614,13455,1683,2091,"SW ADMIRAL WAY, SE/O SW CITY VIEW ST","310089, 2012-04-05, TOTAL",2012,Y,"SW ADMIRAL WAY, SE/O SW CITY VIEW ST",24589.4,0.984,24196,24200,21691,5797.16372341431
103,164950060,N,20693,S LUCILE ST,64,309558,"S LUCILE ST, E/O 4TH AVE S; TOTAL FLOW; CHB TUBE; 27Nov2012 12:45",6658,4949,660,754,"S LUCILE ST, E/O 4TH AVE S","309558, 2012-11-27, TOTAL",2012,Y,"S LUCILE ST, E/O 4TH AVE S",8034.2,1.04,8356,8400,20693,2110.63666944933
104,31500330,N,6261,4TH AVE S,111,309911,"4TH AVE S, N/O S MICHIGAN ST; TOTAL FLOW; CH(AGG); 21Aug2012 11:00",18220,12313,1601,1656,"4TH AVE S, N/O S MICHIGAN ST","309911, 2012-08-21, TOTAL",2012,Y,"4TH AVE S, N/O S MICHIGAN ST",21658.2,1.008,21831,21800,6261,4284.66079875713
105,63200030,N,9960,DELRIDGE WAY SW,247,309935,"DELRIDGE WAY SW, S/O SW ANDOVER ST; TOTAL FLOW; CH(AGG); 05Jun2012 11:45",18363,10348,1549,1463,"DELRIDGE WAY SW, S/O SW ANDOVER ST","309935, 2012-06-05, TOTAL",2012,Y,"DELRIDGE WAY SW, S/O SW ANDOVER ST",19736.2,0.964,19026,19000,9960,12560.2519582285
106,71050490,N,10746,GREENWOOD AVE N,169,309971,"GREENWOOD AVE N, S/O N 80TH ST; TOTAL FLOW; CH(AGG); 01Nov2012 11:15",10716,6390,769,954,"GREENWOOD AVE N, S/O N 80TH ST","309971, 2012-11-01, TOTAL",2012,Y,"GREENWOOD AVE N, S/O N 80TH ST",11036.4,1.04,11478,11500,10746,4085.2716215683
107,38950590,N,7256,5TH AVE NE,228,311036,"5TH AVE NE, N/O NE NORTHGATE WAY; TOTAL FLOW; CH(AGG); 19Apr2012 11:00",11644,7346,755,1180,"5TH AVE NE, N/O NE NORTHGATE WAY","311036, 2012-04-19, TOTAL",2012,Y,"5TH AVE NE, N/O NE NORTHGATE WAY",12150.8,0.984,11956,12000,7256,5299.08800735826
108,10750020,N,3090,20TH AVE W,42,311034,"20TH AVE W, S/O W DRAVUS ST; TOTAL FLOW; CH(AGG); 01Aug2012 10:30",6177,3455,407,516,"20TH AVE W, S/O W DRAVUS ST","311034, 2012-08-01, TOTAL",2012,Y,"20TH AVE W, S/O W DRAVUS ST",6474.8,1.008,6527,6500,3090,9516.92871871367
109,86950030,N,11911,MONTLAKE BLVD NE,16,311063,"MONTLAKE BLVD NE, N/O NE PACIFIC PL; TOTAL FLOW; CH(AGG); 04Oct2012 11:15",40804,23859,3009,3463,"MONTLAKE BLVD NE, N/O NE PACIFIC PL","311063, 2012-10-04, TOTAL",2012,Y,"MONTLAKE BLVD NE, N/O NE PACIFIC PL",43263.6,0.978,42312,42300,11911,2966.82955884895
110,1500170,N,1298,10TH AVE E,202,311024,"10TH AVE E, S/O E BOSTON ST; TOTAL FLOW; CH(AGG); 22Aug2012 12:00",17642,10004,1050,1596,"10TH AVE E, S/O E BOSTON ST","311024, 2012-08-22, TOTAL",2012,Y,"10TH AVE E, S/O E BOSTON ST",18138.2,1.008,18283,18300,1298,6739.72457475202
111,4650470,N,1960,14TH AVE S,236,309873,"14TH AVE S, N/O S DIRECTOR ST; TOTAL FLOW; CH(AGG); 02May2012 11:45",0,6120,799,894,"14TH AVE S, N/O S DIRECTOR ST","309873, 2012-05-02, TOTAL",2012,Y,"14TH AVE S, N/O S DIRECTOR ST",11137,1.002,11159,11200,1960,1863.58888052303
112,156200095,N,166998,S COLUMBIAN WAY,171,310075,"S COLUMBIAN WAY, W/O BEACON WR AVE S; TOTAL FLOW; CH(AGG); 20Sep2012 13:00",14717,8488,1112,1266,"S COLUMBIAN WAY, W/O BEACON WR AVE S","310075, 2012-09-20, TOTAL",2012,Y,"S COLUMBIAN WAY, W/O BEACON WR AVE S",15423.4,0.974,15022,15000,166998,7483.04903293447
113,118650070,N,15160,N 130TH ST,9,310001,"N 130TH ST, W/O LINDEN AVE N; TOTAL FLOW; CH(AGG); 05Sep2012 12:00",13112,8029,963,1217,"N 130TH ST, W/O LINDEN AVE N","310001, 2012-09-05, TOTAL",2012,Y,"N 130TH ST, W/O LINDEN AVE N",13942.4,0.974,13580,13600,15160,2601.58535237012
114,125000070,N,15954,N 85TH ST,161,310011,"N 85TH ST, W/O LINDEN AVE N; TOTAL FLOW; CH(AGG); 05Dec2012 10:30",21578,11325,1324,1580,"N 85TH ST, W/O LINDEN AVE N","310011, 2012-12-05, TOTAL",2012,Y,"N 85TH ST, W/O LINDEN AVE N",21806.4,1.001,21828,21800,15954,5288.15231999762
115,121950060,N,15641,N 50TH ST,8,311244,Aggregate Title,23251,13395,1823,2044,Aggregate Title,"311244, 2012-10-22, E",2012,Y,"N 50TH ST, W/O FREMONT AVE N",24064.8,0.978,23535,23500,15641,3394.51184103588
116,164200065,N,20628,S LANDER ST,222,310382,"S LANDER ST, W/O 6TH AVE S; TOTAL FLOW; CH(AGG); 24Oct2012 12:00",12580,8575,1077,1220,"S LANDER ST, W/O 6TH AVE S","310382, 2012-10-24, TOTAL",2012,Y,"S LANDER ST, W/O 6TH AVE S",14355.4,0.978,14040,14000,20628,3159.95873155522
117,3400060,N,1656,12TH AVE S,214,311347,"12TH AVE S, S/O S WELLER ST; TOTAL FLOW; CH(AGG); 13Mar2012 10:00",10236,6734,650,1231,"12TH AVE S, S/O S WELLER ST","311347, 2012-03-13, TOTAL",2012,Y,"12TH AVE S, S/O S WELLER ST",11384.6,1.046,11908,11900,1656,1509.15116267726
118,63200190,N,9976,DELRIDGE WAY SW,21,309931,"DELRIDGE WAY SW, N/O SW MYRTLE ST; TOTAL FLOW; CH(AGG); 18Sep2012 11:30",15699,8821,1050,1342,"DELRIDGE WAY SW, N/O SW MYRTLE ST","309931, 2012-09-18, TOTAL",2012,Y,"DELRIDGE WAY SW, N/O SW MYRTLE ST",16503,0.974,16074,16100,9976,6001.0900010185
119,134650300,N,17278,NE 65TH ST,174,310023,"NE 65TH ST, E/O 25TH AVE NE; TOTAL FLOW; CH(AGG); 28Mar2012 11:30",11756,7026,1050,1039,"NE 65TH ST, E/O 25TH AVE NE","310023, 2012-03-28, TOTAL",2012,Y,"NE 65TH ST, E/O 25TH AVE NE",12134.8,1.046,12693,12700,17278,2556.73720265996
120,68700160,N,10498,FREMONT AVE N,196,311047,"FREMONT AVE N, S/O N 46TH ST; TOTAL FLOW; CH(AGG); 26Jun2012 10:15",9684,5117,559,738,"FREMONT AVE N, S/O N 46TH ST","311047, 2012-06-26, TOTAL",2012,Y,"FREMONT AVE N, S/O N 46TH ST",9721.2,0.964,9371,9400,10498,5330.67249982393
121,112750380,N,14372,E MADISON ST,231,311085,"E MADISON ST, SW/O 38TH AVE E; TOTAL FLOW; CH(AGG); 27Mar2012 12:45",11913,7121,928,994,"E MADISON ST, SW/O 38TH AVE E","311085, 2012-03-27, TOTAL",2012,Y,"E MADISON ST, SW/O 38TH AVE E",12559.4,1.046,13137,13100,14372,5345.49465099886
122,53150010,N,9047,BALLARD BR,240,311270,"BALLARD BR, S/O POINT A; TOTAL FLOW; CH(AGG); 08Feb2012 15:45",50931,30392,3577,4613,"BALLARD BR, S/O POINT A","311270, 2012-02-08, TOTAL",2012,Y,"BALLARD BR, S/O POINT A",53499.8,1.019,54516,54500,9047,5189.90318109541
123,5650245,N,2155,15TH AVE S,47,309879,"15TH AVE S, S/O S BRADFORD ST; TOTAL FLOW; CH(AGG); 28Jun2012 11:00",21636,12636,1606,1940,"15TH AVE S, S/O S BRADFORD ST","309879, 2012-06-28, TOTAL",2012,Y,"15TH AVE S, S/O S BRADFORD ST",23419.75,0.964,22577,22600,2155,1763.85739815774
124,135950280,N,17527,NE 75TH ST,173,310031,"NE 75TH ST, W/O 30TH AVE NE; TOTAL FLOW; CH(AGG); 28Mar2012 12:45",15905,9752,1405,1454,"NE 75TH ST, W/O 30TH AVE NE","310031, 2012-03-28, TOTAL",2012,Y,"NE 75TH ST, W/O 30TH AVE NE",16561.4,1.046,17323,17300,17527,2532.02921065363
125,135950110,N,17510,NE 75TH ST,65,310029,"NE 75TH ST, E/O 12TH AVE NE; TOTAL FLOW; CH(AGG); 28Mar2012 13:15",20353,12412,1626,1917,"NE 75TH ST, E/O 12TH AVE NE","310029, 2012-03-28, TOTAL",2012,Y,"NE 75TH ST, E/O 12TH AVE NE",21176.4,1.046,22151,22200,17510,4121.4969239623
126,65750060,N,10230,ELLIS AVE S,265,311044,"ELLIS AVE S, S/O S WARSAW ST; TOTAL FLOW; CH(AGG); 06Dec2012 11:00",4921,3655,543,580,"ELLIS AVE S, S/O S WARSAW ST","311044, 2012-12-06, TOTAL",2012,Y,"ELLIS AVE S, S/O S WARSAW ST",6054,1.001,6060,6100,10230,6690.95318195086
127,63450200,Y,10015,DENNY WAY,94,309941,"DENNY WAY, E/O WESTLAKE AVE; TOTAL FLOW; CH(AGG); 01Feb2012 11:00",31979,17068,2377,2230,"DENNY WAY, E/O WESTLAKE AVE","309941, 2012-02-01, TOTAL",2012,Y,"DENNY WAY, E/O WESTLAKE AVE",33111.6,1.019,33741,33700,10015,2325.44653779446
128,3300260,N,1589,12TH AVE NE,150,309471,"12TH AVE NE, S/O NE 75TH ST; N FLOW; CHA TUBE; 05Nov2012 10:45",8564,5897,426,1299,"12TH AVE NE, S/O NE 75TH ST","309471, 2012-11-05, N",2012,Y,"12TH AVE NE, S/O NE 75TH ST",8993.4,1.04,9353,9400,1589,2640.8954271984
129,101600170,N,13267,VALLEY ST,168,310099,"VALLEY ST, W/O FAIRVIEW AVE N; TOTAL FLOW; CH(AGG); 01Feb2012 10:15",29480,15869,2218,2222,"VALLEY ST, W/O FAIRVIEW AVE N","310099, 2012-02-01, TOTAL",2012,Y,"VALLEY ST, W/O FAIRVIEW AVE N",31301.6,1.019,31896,31900,13267,4144.17134486669
130,174000250,N,21848,SW BARTON ST,78,311119,"SW BARTON ST, W/O 30TH AVE SW; TOTAL FLOW; CH(AGG); 21Jun2012 12:45",9291,5549,601,824,"SW BARTON ST, W/O 30TH AVE SW","311119, 2012-06-21, TOTAL",2012,Y,"SW BARTON ST, W/O 30TH AVE SW",9444,0.964,9104,9100,21848,7676.93537541441
131,14750110,N,3543,24TH AVE E,123,309893,"24TH AVE E, N/O E PROSPECT ST; TOTAL FLOW; CH(AGG); 22Aug2012 12:15",16236,10389,1297,1686,"24TH AVE E, N/O E PROSPECT ST","309893, 2012-08-22, TOTAL",2012,Y,"24TH AVE E, N/O E PROSPECT ST",17810.2,1.008,17953,18000,3543,9802.82922087441
132,22750030,N,4828,31ST AVE S,68,311201,"31ST AVE S, S/O S JACKSON ST; TOTAL FLOW; CH(AGG); 19Mar2012 12:30",4164,2778,463,452,"31ST AVE S, S/O S JACKSON ST","311201, 2012-03-19, TOTAL",2012,Y,"31ST AVE S, S/O S JACKSON ST",4449.8,1.046,4654,4700,4828,8590.21593226514
133,148000130,N,18898,NW 80TH ST,248,311106,"NW 80TH ST, W/O 15TH AVE NW; TOTAL FLOW; CH(AGG); 18Apr2012 10:30",9570,5515,687,838,"NW 80TH ST, W/O 15TH AVE NW","311106, 2012-04-18, TOTAL",2012,Y,"NW 80TH ST, W/O 15TH AVE NW",9780.6,0.984,9624,9600,18898,5301.03353966279
134,300200,N,1212,1ST AVE S,270,311020,"1ST AVE S, N/O S SPOKANE SR ST; TOTAL FLOW; CH1; 24Oct2012 11:30",16065,11604,1784,1645,"1ST AVE S, N/O S SPOKANE SR ST","311020, 2012-10-24, TOTAL",2012,Y, ,189981,0.978,18563,18600,1212,10030.6378766156
135,134650170,N,17265,NE 65TH ST,260,310025,"NE 65TH ST, W/O 15TH AVE NE; TOTAL FLOW; CH(AGG); 24Apr2012 13:00",16923,9635,1290,1397,"NE 65TH ST, W/O 15TH AVE NE","310025, 2012-04-24, TOTAL",2012,Y,"NE 65TH ST, W/O 15TH AVE NE",17432.4,0.984,17153,17200,17265,4785.51194095125
136,121400040,N,15557,N 46TH ST,243,310005,"N 46TH ST, W/O PHINNEY AVE N; TOTAL FLOW; CH(AGG); 04Sep2012 11:30",0,12639,1556,1732,"N 46TH ST, W/O PHINNEY AVE N","310005, 2012-09-04, TOTAL",2012,Y,"N 46TH ST, W/O PHINNEY AVE N",24355.6,0.974,23722,23700,15557,6326.32200156573
137,124550040,N,15893,N 80TH ST,50,309445,"N 80TH ST, W/O LINDEN AVE N; TOTAL FLOW; CHB TUBE; 22Oct2012 12:30",22122,12114,1380,1820,"N 80TH ST, W/O LINDEN AVE N","309445, 2012-10-22, TOTAL",2012,Y,"N 80TH ST, W/O LINDEN AVE N",22622.6,0.978,22125,22100,15893,7953.15552972554
138,44550180,N,7997,6TH AVE S,238,309919,"6TH AVE S, S/O S FOREST ST; TOTAL FLOW; CH(AGG); 21Aug2012 10:30",14775,10238,1414,1380,"6TH AVE S, S/O S FOREST ST","309919, 2012-08-21, TOTAL",2012,Y,"6TH AVE S, S/O S FOREST ST",17916,1.008,18059,18100,7997,4151.85098740183
139,117400050,N,15012,N 105TH ST,31,311240,Aggregate Title,22463,12098,1551,1646,Aggregate Title,"311240, 2012-09-05, TOTAL",2012,Y,"N 105TH ST, W/O EVANSTON W AVE N",23368,0.974,22760,22800,15012,2649.00043925463
140,5550070,N,2034,15TH AVE NE,43,309877,"15TH AVE NE, S/O NE 45TH ST; TOTAL FLOW; CH(AGG); 13Nov2012 11:15",12782,8411,1067,1340,"15TH AVE NE, S/O NE 45TH ST","309877, 2012-11-13, TOTAL",2012,Y,"15TH AVE NE, S/O NE 45TH ST",14175.8,1.04,14743,14700,2034,2877.46241780495
141,86850010,N,11902,MONTLAKE BR,29,311370,"MONTLAKE BR, S/O POINT A; TOTAL FLOW; CH(AGG)(2011 DATA); 12Oct2012 10:15",53926,30543,3546,4318,"MONTLAKE BR, S/O POINT A","311370, 2012-10-12, TOTAL",2012,Y,"MONTLAKE BR, S/O POINT A",57018.6,0.978,55764,55800,11902,2147.11113035405
142,80550170,N,11209,LAKE WASHINGTON BLVD E,118,311055,"LAKE WASHINGTON BLVD E, NW/O E MADISON ST; TOTAL FLOW; CH(AGG); 23Aug2012 11:00",17856,10960,1409,1622,"LAKE WASHINGTON BLVD E, NW/O E MADISON ST","311055, 2012-08-23, TOTAL",2012,Y,"LAKE WASHINGTON BLVD E, NW/O E MADISON ST",19296,1.008,19450,19500,11209,8760.4163843065
143,88150040,N,11970,NICKERSON ST,27,310049,"NICKERSON ST, NW/O FLORENTIA ST; TOTAL FLOW; CH(AGG); 17Apr2012 12:00",21273,12501,1610,1985,"NICKERSON ST, NW/O FLORENTIA ST","310049, 2012-04-17, TOTAL",2012,Y,"NICKERSON ST, NW/O FLORENTIA ST",22527.6,0.984,22167,22200,11970,7124.19243802835
144,9550150,Y,2757,2ND AVE,212,308941,"2ND AVE, SE/O PIKE ST; TOTAL FLOW; CH(AGG); 02Aug2012 11:15",15077,9180,1463,1410,"2ND AVE, SE/O PIKE ST","308941, 2012-08-02, TOTAL",2012,Y,"2ND AVE, SE/O PIKE ST",16306.2,1.008,16437,16400,2757,5381.62711198011
145,93450260,N,12364,RAINIER AVE S,74,311067,"RAINIER AVE S, NW/O S MCCLELLAN ST; TOTAL FLOW; CH(AGG); 03Dec2012 11:30",33085,18878,2084,2721,"RAINIER AVE S, NW/O S MCCLELLAN ST","311067, 2012-12-03, TOTAL",2012,Y,"RAINIER AVE S, NW/O S MCCLELLAN ST",34971,1.001,35006,35000,12364,5670.94220634671
146,63450135,Y,10007,DENNY WAY,266,309945,"DENNY WAY, W/O 6TH AVE; TOTAL FLOW; CH(AGG); 22Aug2012 10:45",29646,14754,1918,1950,"DENNY WAY, W/O 6TH AVE","309945, 2012-08-22, TOTAL",2012,Y,"DENNY WAY, W/O 6TH AVE",29594.6,1.008,29831,29800,10007,2574.22129473989
147,162850240,N,20501,S JACKSON ST,186,311112,"S JACKSON ST, W/O 23RD AVE S; TOTAL FLOW; CH(AGG); 20Sep2012 10:15",14235,8431,1230,1150,"S JACKSON ST, W/O 23RD AVE S","311112, 2012-09-20, TOTAL",2012,Y,"S JACKSON ST, W/O 23RD AVE S",14923.6,0.974,14536,14500,20501,5318.57412716703
148,139500020,N,18039,NE PACIFIC ST,241,310041,"NE PACIFIC ST, NE/O 2ND AVE NE; TOTAL FLOW; CH(AGG); 03Oct2012 11:00",15030,9588,1324,1522,"NE PACIFIC ST, NE/O 2ND AVE NE","310041, 2012-10-03, TOTAL",2012,Y,"NE PACIFIC ST, NE/O 2ND AVE NE",16296.8,0.978,15938,15900,18039,7934.35111199655
149,95950080,N,12762,SEAVIEW AVE NW,177,311232,"SEAVIEW AVE NW, N/O NW 67TH ST; TOTAL FLOW; CH(AGG); 01Nov2012 09:45",3556,2159,255,354,"SEAVIEW AVE NW, N/O NW 67TH ST","311232, 2012-11-01, TOTAL",2012,Y,"SEAVIEW AVE NW, N/O NW 67TH ST",3354.4,1.04,3489,3500,12762,16934.4066608771
150,134650290,N,17277,NE 65TH ST,249,311104,"NE 65TH ST, W/O 25TH AVE NE; TOTAL FLOW; CH(AGG); 28Mar2012 12:15",15426,8995,1187,1365,"NE 65TH ST, W/O 25TH AVE NE","311104, 2012-03-28, TOTAL",2012,Y,"NE 65TH ST, W/O 25TH AVE NE",15810,1.046,16537,16500,17277,2778.45414905699
151,50000425,N,8689,AIRPORT WAY S,,,,,,,,,,,,,,,,,,6686.5330775749
